species,Babi,Bangkaru,Enggano,Lasia,Nias,North_Pagai,Pini,Siberut,Simeulue,Sipora,South_Pagai,Tana_Bala,Tana_Massa,Tello,Tuangku
Geopelia_striata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gerygone_sulphurea,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Gracula_religiosa,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
Halcyon_coromanda,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
Halcyon_smyrnensis,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Haliaeetus_leucogaster,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
Haliastur_indus,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1
Harpactes_duvaucelii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Harpactes_oreskios,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hemicircus_concretus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hemiprocne_comata,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0
Hemiprocne_longipennis,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
Hemipus_hirundinaceus,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Hirundo_tahitica,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1
Hypothymis_azurea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ictinaetus_malayensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iole_olivacea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Irena_puella,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1
Ixobrychus_sinensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ketupa_ketupu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lalage_nigra,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Lonchura_atricapilla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lonchura_maja,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Lonchura_punctulata,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Loriculus_galgulus,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1
Macronous_gularis,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Macronous_ptilosus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macropygia_emiliana,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
Macropygia_ruficeps,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Malacocincla_malaccensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Malacopteron_affine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Malacopteron_albogulare,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malacopteron_cinereum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Megalaima_australis,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Megalaima_mystacophanos,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Meiglyptes_tristis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Meiglyptes_tukki,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
Merops_viridis,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Nectarinia_calcostetha,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
Nectarinia_jugularis,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Nectarinia_sperata,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1
Ninox_scutulata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nisaetus_alboniger,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Nisaetus_cirrhatus,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Nisaetus_nanus,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Nycticorax_nycticorax,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oriolus_chinensis,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0
Oriolus_xanthonotus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Orthotomus_atrogularis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Orthotomus_ruficeps,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
Otus_enganensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otus_mentawi,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Otus_umbra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pachycephala_grisola,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
Passer_montanus,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Pelargopsis_capensis,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
Pericrocotus_flammeus,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Pericrocotus_igneus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pernis_ptilorhyncus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phaenicophaeus_chlorophaeus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phaenicophaeus_curvirostris,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
Phaenicophaeus_sumatranus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phalacrocorax_niger,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Philentoma_pyrhoptera,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Phodilus_badius,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Picus_mineaceus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Picus_puniceus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ploceus_philippinus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Porphyrio_porphyrio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Porzana_cinerea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Prinia_flaviventris,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Prionochilus_maculatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Prionochilus_percussus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psittacula_alexandri,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Psittacula_longicauda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Psittinus_cyanurus,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Ptilinopus_jambu,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pycnonotus_atriceps,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
Pycnonotus_brunneus,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
Pycnonotus_erythropthalmos,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Pycnonotus_eutilotus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pycnonotus_goiavier,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Pycnonotus_melanoleucos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pycnonotus_plumosus,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
Pycnonotus_simplex,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Pycnonotus_zeylanicus,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Rallina_fasciata,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
Rhaphidura_leucopygialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rhinomyias_umbratilis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sasia_abnormis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sitta_frontalis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Spilornis_cheela,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
Stachyris_erythroptera,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Stachyris_maculata,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Stigmatopelia_chinensis,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Strix_leptogrammica,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Surniculus_lugubris,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
Terpsiphone_paradisi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Todiramphus_chloris,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1
Treron_capellei,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Treron_curvirostra,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1
Treron_fulvicollis,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Treron_olax,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Treron_vernans,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
Tricholestes_criniger,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Tyto_alba,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zoothera_andromedae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zoothera_leucolaema,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops_palpebrosus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Area (ha),4578.4149,6077.7813,19767.4126,1490.704,411725.3552,60904.7519,32192.8933,383938.7272,174374.4386,59804.7368,86971.4466,44856.0635,33336.8466,1111.6239,21671.0266
sp.r,28,25,40,13,119,41,31,93,76,58,42,20,51,40,54
