species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
Ara_militaris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baeolophus_wollweberi,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Basileuterus_belli,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Arremon_brunneinucha,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Campylorhynchus_jocosus,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Campylorhynchus_megalopterus,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Catharus_occidentalis,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Certhia_americana,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Chlorospingus_ophthalmicus,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Claravis_mondetoura,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Contopus_pertinax,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
Cyanocitta_stelleri,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
Cyanolyca_nana,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyrtonyx_montezumae,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Dendroica_graciae,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Dendrortyx_macroura,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Empidonax_affinis,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0
Empidonax_occidentalis,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Ergaticus_ruber,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Eupherusa_cyanophrys,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eupherusa_poliocerca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphonia_elegantissima,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
Grallaria_guatimalensis,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harpyhaliaetus_solitarius,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henicorhina_leucophrys,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Henicorhina_leucosticta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocharis_leucotis,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
Lampornis_amethystinus,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
Lampornis_clemenciae,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Lamprolaima_rhami,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Lepidocolaptes_leucogaster,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0
Melanerpes_formicivorus,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
Mitrephanes_phaeocercus,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
Myadestes_occidentalis,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Myadestes_unicolor,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Myioborus_miniatus,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
Myioborus_pictus,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Ortalis_poliocephala,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Otus_flammeolus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Megascops_trichopsis,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
Pachyramphus_major,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Parula_superciliosa,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Peucedramus_taeniatus,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
Phaethornis_longirostris,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Pheucticus_melanocephalus,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Picoides_villosus,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Colaptes_auricularis,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pipilo_ocai,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Piranga_erythrocephala,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Parus_sclateri,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ptilogonys_cinereus,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
Zoothera_pinicola,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Trogon_elegans,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Trogon_mexicanus,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Turdus_assimilis,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Turdus_infuscatus,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Vireo_huttoni,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Vireo_plumbeus,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
Vireolanius_melitophrys,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Caprimulgus_vociferus,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
Area (ha),159246,141752,120189,72737,68932,31582,30122,11334,9131,3552,1013,252,91,74,60,6,2
sp.r,69,71,73,75,58,78,74,46,32,24,38,19,4,10,19,24,7
